citationtitle,numOfInCitation
Space-Time Codes for High Data Rate Wireless Communications : Performance criterion and Code Construction,7
Low-density parity check codes over GF(q),7
Exact matrix completion via convex optimization,5
Coding for Errors and Erasures in Random Network Coding,4
Worst-case equilibria,4

