yearOfPublication,count
2000,7
2007,7
2014,7
2001,6
2010,6
2002,5
2009,4
1996,3
1997,3
2005,3
2008,3
1993,2
1999,2
2004,2
2015,16
2016,15
2012,12
2013,12
2006,10
2011,10
1992,1
1994,1
1995,1
1998,1

