journalId,journalTitle,journalAuthors,citedJournalId,citedJournalTitle,citedJournalAuthors
"87067aff7af7927401388eaf21122b0119520f4e","Code Optimization for Lossless Turbo Source Coding","Nicolas D??tsch","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"50c8dd5e92130306498d65f1a4b4b643270fd114","Soft McEliece: MDPC code-based McEliece cryptosystems with very compact keys through real-valued intentional errors","Marco Baldi,Paolo Santini,Franco Chiaraluce","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"11fda0035e087a7f0cc0701bb7e4237217bc7d56","Embedding polynomial time memory mapping and routing algorithms on-chip to design configurable decoder architectures","Saeed-ur Rehman,Awais Sani,Cyrille Chavet,Philippe Coussy","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"affc46051b22c59b83c99912c0b6604a925eab4d","Joint Decoding of LDPC Code and Phase Factors for OFDM Systems With PTS PAPR Reduction","Li Li,Daiming Qu","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"d943e41d1d9582ba9d63a4065a961093804ab067","Power-efficient LDPC code decoder architecture","Kazunori Shimizu,Nozomu Togawa,Takeshi Ikenaga,Satoshi Goto","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"9c3dc8ea89d4c0d6d1d5584473205fe92f3ef1f8","Tree Expectation Propagation for ML Decoding of LDPC Codes over the BEC","Luis Salamanca,Pablo M. Olmos,Juan Jos?? Murillo-Fuentes,Fernando P??rez-Cruz","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"aa2250cf3c4a180d82d4a4659dc04dcc47a866c6","Near-Shannon-Limit Linear-Time-Encodable Nonbinary Irregular LDPC Codes","Jie Huang,Shengli Zhou,Peter Willett","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"90659f616af28b6409a6d54364b39d7765dbefa4","Error Floors of LDPC Coded BICM","Aditya Ramamoorthy,Nedeljko Varnica","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"46d805bf8b423439827d6d4a7f8aec7f2a132fbd","Low-Complexity Soft Decoding of Huffman Codes and Iterative Joint Source Channel Decoding","Amin Zribi,Ramesh Pyndiah,Sonia Zaibi,Fr??d??ric Guilloud,Ammar Bouall?ÅNgue","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"12e81e42d3e18159f55ed25f1c807fba886bf13b","Analysis and Design of Binary Message Passing Decoders","Gottfried Lechner,Troels Pedersen,Gerhard Kramer","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"4101c1a8babce18c9d0d73e8bea8b1336168e71e","Channels with both random errors and burst erasures: Capacities, LDPC code thresholds, and code performances","Kan Li,Aleksandar Kavcic,Raman Venkataramani,M. Fatih Erden","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"3e779e9f8029469cdc4e1dfb7628ea7d0f0fe0b0","Combined Analog and Digital Error-Correcting Codes For Analog Information Sources","Isaac Rosenhouse,Anthony J. Weiss","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"1444a21d3d8923cbcd1e9f7f2669c4c9ce63adff","Design of LDPC decoders for improved low error rate performance: quantization and algorithm choices","Zhengya Zhang,Lara Dolecek,Borivoje Nikolic,Venkat Anantharam,Martin J. Wainwright","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"717da54538d30b96030f386084954d6e63cd9451","A New Channel Coding Technique to Approach the Channel Capacity","Mahesh Patel,A Annamalai","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"06c58a7d28b2f1b36c069d4c6e21213d18123544","A Low Latency, Low-power Ldpc Decoder Design","Z H Cai,S Chattong,T H Khine","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"c66a4d21447c76c30b7c0e0739dacccdbc6a59fb","Generalized and doubly generalized LDPC codes with random component codes for the binary erasure channel","Enrico Paolini,Marc P. C. Fossorier,Marco Chiani","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5c7c9796b44e2ed1085c88cb698118f57c033798","Performance Evaluation of Adaptive Ldpc Coded Modulation Cooperative Wireless Communication System with Best-relay Selection","Ahmed S Mohamed,Mohammed Abd-Elnaby,Sami A El-Dolil","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"1b2c73bf08ee0964d21094f0a25316ac571f130b","Distributed Source Coding Techniques for Lossless Compression of Hyperspectral Images","Enrico Magli,Mauro Barni,Andrea Abrardo,Marco Grangetto","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"7fb92f209ff2b5c22681b61a6dc263c96fb36b11","Performing scalable lossy compression on pixel encrypted images","Xiangui Kang,Anjie Peng,Xianyu Xu,Xiaochun Cao","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"2bb486e257bdf6cd0c81c85937ea604c65abbde8","Iterative decoding beyond belief propagation","Shiva Kumar Planjery,Shashi Kiran Chilappagari,Bane V. Vasic,David Declercq,Ludovic Danjean","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"c9257d782ba57d62e0ec4a1200527a4cc0ed2855","On the design of low-density parity-check codes within 0.0045 dB of the Shannon limit","Sae-Young Chung,G. David Forney,Thomas J. Richardson,R??diger L. Urbanke","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"d7a179d7f181052859b6dfd7d673e1b953e9d92f","Finite-length Scaling Laws for Iterative Coding Systems Finite-length Scaling Laws for Iterative Coding Systems","J??r??mie Ezri,Ruediger Urbanke","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"e59496b628817eb13f01358bb66de43452a27ed2","Performance Comparison of Ldpc Codes Using Srk Equalisation and Ofdm Techniques for Broadband Fixed Wireless Access Systems","M K Khan,R A Carrasco,I J Wassell,J A Neasham","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"470c14774c3669194074d562ff3bdb92dafe5087","Channel Code-Division Multiple Access and Its Multilevel-Structured LDPC-Based Instantiation","Nicholas Bonello,Rong Zhang,Sheng Chen,Lajos Hanzo","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"631addedf46876730db9ca8ad86373d96b2dc8b3","Low-Complexity LDPC Codes with Near-Optimum Performance over the BEC","Enrico Paolini,Gianluigi Liva,Michela Varrella,Bal??zs Matuz,Marco Chiani","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5c7e88509bfbda4634aaeaca921a6a590d488e73","Mimo-ofdm over an Underwater Acoustic Channel","Baosheng Li,Shengli Zhou,Milica Stojanovic,Lee Freitag,Jie Huang,Peter Willett","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"5df2cd3a91a71753ff81a7e8810bb936760b2eb4","Gallager error-correcting codes for binary asymmetric channels","I Neri,N S Skantzos,D Boll??","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
"221836335d2dd0a3b3893f63cc2af18a6a7975de","Quantum Belief Propagation Algorithm versus Suzuki-Trotter approach in the one-dimensional Heisenberg chains","Farzad Ghafari Jouneghani,Mohamad Babazadeh,Davoud Salami,Hossein Movla","36adf8c327b95bdffe2778bf022e0234d433454a","Low-density parity check codes over GF(q)","Matthew C. Davey,David J. C. MacKay"
