author,count
Wei Wang,94
No,9
Marco Gruteser,9
Alois Knoll,9
Jean Tirole,9
Michael Weller,9
N Sakai,9
Alan F. Smeaton,9
Colin Camerer,9
Victor O. K. Li,9

